Average Score; Win Rate
 (93.22); (0.58)
Scores; Record
 -499; Loss
 516; Win
 510; Win
 -499; Loss
 -497; Loss
 506; Win
 506; Win
 510; Win
 516; Win
 -497; Loss
 516; Win
 516; Win
 -499; Loss
 505; Win
 -498; Loss
 516; Win
 -498; Loss
 516; Win
 -501; Loss
 -493; Loss
 516; Win
 -493; Loss
 509; Win
 -498; Loss
 511; Win
 510; Win
 516; Win
 516; Win
 -493; Loss
 510; Win
 516; Win
 516; Win
 -493; Loss
 510; Win
 510; Win
 -496; Loss
 -493; Loss
 516; Win
 -493; Loss
 516; Win
 516; Win
 516; Win
 -499; Loss
 516; Win
 -493; Loss
 516; Win
 509; Win
 -498; Loss
 -493; Loss
 516; Win
 -501; Loss
 -498; Loss
 516; Win
 516; Win
 -493; Loss
 -496; Loss
 -493; Loss
 510; Win
 516; Win
 516; Win
 516; Win
 -498; Loss
 -498; Loss
 516; Win
 507; Win
 516; Win
 511; Win
 -496; Loss
 516; Win
 -497; Loss
 -497; Loss
 -496; Loss
 516; Win
 516; Win
 516; Win
 516; Win
 -499; Loss
 516; Win
 509; Win
 511; Win
 516; Win
 506; Win
 510; Win
 -493; Loss
 -498; Loss
 516; Win
 516; Win
 510; Win
 516; Win
 516; Win
 516; Win
 516; Win
 -498; Loss
 -498; Loss
 -493; Loss
 -493; Loss
 516; Win
 -496; Loss
 511; Win
 -493; Loss
 -499; Loss
 500; Win
 516; Win
 -500; Loss
 511; Win
 516; Win
 -498; Loss
 -501; Loss
 -499; Loss
 509; Win
 508; Win
 -497; Loss
 -493; Loss
 516; Win
 -499; Loss
 -498; Loss
 516; Win
 516; Win
 -497; Loss
 511; Win
 -498; Loss
 -493; Loss
 516; Win
 -498; Loss
 516; Win
 516; Win
 -493; Loss
 -500; Loss
 508; Win
 510; Win
 516; Win
 516; Win
 508; Win
 -493; Loss
 -497; Loss
 510; Win
 510; Win
 508; Win
 516; Win
 509; Win
 -499; Loss
 516; Win
 511; Win
 -503; Loss
 516; Win
 509; Win
 516; Win
 -497; Loss
 516; Win
 -493; Loss
 516; Win
 516; Win
 -508; Loss
 511; Win
 516; Win
 -498; Loss
 -498; Loss
 516; Win
 511; Win
 516; Win
 516; Win
 -496; Loss
 509; Win
 516; Win
 -503; Loss
 508; Win
 -499; Loss
 516; Win
 511; Win
 516; Win
 516; Win
 -496; Loss
 511; Win
 516; Win
 510; Win
 516; Win
 516; Win
 516; Win
 -498; Loss
 -500; Loss
 516; Win
 516; Win
 510; Win
 -500; Loss
 -502; Loss
 516; Win
 -498; Loss
 516; Win
 -499; Loss
 516; Win
 -500; Loss
 516; Win
 516; Win
 516; Win
 -493; Loss
 516; Win
 -493; Loss
 -496; Loss
 516; Win
 510; Win
 -496; Loss
 -499; Loss
 -497; Loss
 509; Win
 516; Win
 516; Win
 510; Win
 -493; Loss
 -493; Loss
 511; Win
 516; Win
 510; Win
 509; Win
 510; Win
 511; Win
 510; Win
 -501; Loss
 -498; Loss
 516; Win
 516; Win
 516; Win
 516; Win
 510; Win
 511; Win
 511; Win
 -505; Loss
 516; Win
 511; Win
 -493; Loss
 -493; Loss
 -499; Loss
 516; Win
 -497; Loss
 -493; Loss
 508; Win
 516; Win
 -499; Loss
 516; Win
 -493; Loss
 516; Win
 -500; Loss
 -505; Loss
 516; Win
 516; Win
 -497; Loss
 516; Win
 -501; Loss
 510; Win
 -497; Loss
 508; Win
 -499; Loss
 511; Win
 -498; Loss
 510; Win
 516; Win
 516; Win
 516; Win
 -493; Loss
 516; Win
 516; Win
 516; Win
 510; Win
 -501; Loss
 516; Win
 -496; Loss
 516; Win
 -499; Loss
 508; Win
 -493; Loss
 510; Win
 516; Win
 -497; Loss
 -496; Loss
 516; Win
 -496; Loss
 511; Win
 510; Win
 -501; Loss
 509; Win
 -493; Loss
 511; Win
 510; Win
 509; Win
 510; Win
 -493; Loss
 516; Win
 516; Win
 516; Win
 -493; Loss
 -493; Loss
 516; Win
 510; Win
 516; Win
 -498; Loss
 516; Win
 -498; Loss
 511; Win
 -493; Loss
 516; Win
 510; Win
 -500; Loss
 -493; Loss
 511; Win
 516; Win
 516; Win
 -503; Loss
 507; Win
 516; Win
 516; Win
 -498; Loss
 509; Win
 -498; Loss
 516; Win
 -501; Loss
 516; Win
 516; Win
 -501; Loss
 516; Win
 510; Win
 -493; Loss
 -497; Loss
 516; Win
 511; Win
 507; Win
 -493; Loss
 516; Win
 -493; Loss
 516; Win
 -493; Loss
 516; Win
 510; Win
 516; Win
 -493; Loss
 -493; Loss
 -499; Loss
 516; Win
 516; Win
 516; Win
 -499; Loss
 508; Win
 516; Win
 -497; Loss
 -496; Loss
 509; Win
 511; Win
 516; Win
 -493; Loss
 -493; Loss
 -499; Loss
 509; Win
 -497; Loss
 516; Win
 516; Win
 516; Win
 -493; Loss
 -497; Loss
 516; Win
 -493; Loss
 516; Win
 516; Win
 -501; Loss
 516; Win
 -498; Loss
 516; Win
 -500; Loss
 516; Win
 516; Win
 -501; Loss
 516; Win
 -498; Loss
 -506; Loss
 -493; Loss
 516; Win
 -496; Loss
 516; Win
 508; Win
 -498; Loss
 -499; Loss
 509; Win
 -498; Loss
 506; Win
 516; Win
 516; Win
 -498; Loss
 509; Win
 508; Win
 516; Win
 516; Win
 516; Win
 -493; Loss
 -493; Loss
 -498; Loss
 -497; Loss
 -493; Loss
 516; Win
 -500; Loss
 -497; Loss
 516; Win
 516; Win
 -493; Loss
 516; Win
 516; Win
 -493; Loss
 516; Win
 -498; Loss
 509; Win
 511; Win
 -498; Loss
 516; Win
 516; Win
 -496; Loss
 -493; Loss
 508; Win
 -501; Loss
 516; Win
 -505; Loss
 -493; Loss
 -498; Loss
 -498; Loss
 -499; Loss
 516; Win
 -493; Loss
 516; Win
 516; Win
 506; Win
 516; Win
 516; Win
 -501; Loss
 -498; Loss
 -498; Loss
 516; Win
 511; Win
 -493; Loss
 -498; Loss
 516; Win
 511; Win
 -501; Loss
 508; Win
 516; Win
 516; Win
 -501; Loss
 510; Win
 -498; Loss
 516; Win
 -497; Loss
 -493; Loss
 516; Win
 510; Win
 -496; Loss
 516; Win
 -499; Loss
 505; Win
 -499; Loss
 516; Win
 -501; Loss
 -493; Loss
 505; Win
 -493; Loss
 516; Win
 -500; Loss
 516; Win
 516; Win
 516; Win
 -498; Loss
 -497; Loss
 -493; Loss
 516; Win
 516; Win
 516; Win
 509; Win
 -493; Loss
 510; Win
 -493; Loss
 -493; Loss
 -500; Loss
 -499; Loss
 -498; Loss
 516; Win
 -496; Loss
 -493; Loss
 -498; Loss
 -504; Loss
 -497; Loss
 -497; Loss
 516; Win
 516; Win
 516; Win
 -498; Loss
 -493; Loss
 -498; Loss
 516; Win
 -496; Loss
 -496; Loss
 -498; Loss
 -499; Loss
 -499; Loss
 516; Win
 516; Win
 -497; Loss
 516; Win
 516; Win
 -498; Loss
 -493; Loss
 -499; Loss
 -500; Loss
 -496; Loss
 516; Win
 516; Win
 510; Win
 -493; Loss
 516; Win
 516; Win
 -499; Loss
 516; Win
 516; Win
 -496; Loss
 511; Win
 -497; Loss
 -493; Loss
 516; Win
 -493; Loss
 -497; Loss
 516; Win
 509; Win
 516; Win
 -497; Loss
 511; Win
 508; Win
 516; Win
 509; Win
 516; Win
 -498; Loss
 516; Win
 -503; Loss
